"Volcano.Number","Volcano.Name","Eruption.Number","Eruption.Category","Area.of.Activity","VEI","VEI.Modifier","Start.Year.Modifier","Start.Year","Start.Year.Uncertainty","Start.Month","Start.Day.Modifier","Start.Day","Start.Day.Uncertainty","Evidence.Method..dating.","End.Year.Modifier","End.Year","End.Year.Uncertainty","End.Month","End.Day.Modifier","End.Day","End.Day.Uncertainty","Country"
241030,"Taranaki",14455,"Confirmed Eruption","NULL","NULL","NULL","NULL",1560,"40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14476,"Confirmed Eruption","NULL","2","NULL","NULL",1957,"NULL","12","NULL","11","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14485,"Confirmed Eruption","South of Rudolf (1971 crater)","2","NULL","NULL",1971,"NULL","7","NULL","19","NULL","Observations: Reported","NULL","1971","NULL","7","NULL","20","NULL","New Zealand"
241040,"Whakaari/White Island",14490,"Confirmed Eruption","Congress and numerous other craters","3","NULL","NULL",1986,"NULL","2","?","1","NULL","Observations: Reported","NULL","1994","NULL","7","NULL","28","NULL","New Zealand"
241040,"Whakaari/White Island",14487,"Confirmed Eruption","Christmas, Gibrus, and 1978 craters","3","NULL","NULL",1976,"NULL","12","NULL","18","NULL","Observations: Reported","NULL","1982","NULL","1","NULL","29","NULL","New Zealand"
241040,"Whakaari/White Island",14483,"Confirmed Eruption","Rudolf vent","2","NULL","NULL",1970,"NULL","6","NULL","30","30","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14461,"Confirmed Eruption","NULL","2","NULL","NULL",1836,"2","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14470,"Confirmed Eruption","NW end of crater (Lot's Wife vent)","2","NULL","NULL",1922,"NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14479,"Confirmed Eruption","Big John Crater","3","NULL","NULL",1962,"NULL","12","NULL","15","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",13356,"Confirmed Eruption","Noisy Nellie Crater","2","NULL","NULL",1947,"NULL","1","<","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14495,"Confirmed Eruption","MH vent","2","NULL","NULL",2001,"NULL","2","NULL","19","NULL","Observations: Reported","NULL","2001","NULL","2","?","19","NULL","New Zealand"
241040,"Whakaari/White Island",14484,"Confirmed Eruption","Noisy Nellie Crater","2","NULL","NULL",1971,"NULL","4","NULL","9","3","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",22621,"Confirmed Eruption","NULL","NULL","NULL","NULL",2025,"NULL","8","NULL","28","NULL","Observations: Reported","NULL","2025","NULL","8","NULL","28","NULL","New Zealand"
241040,"Whakaari/White Island",14478,"Confirmed Eruption","Noisy Nellie Crater","2","NULL","NULL",1959,"NULL","12","NULL","14","NULL","Observations: Reported","NULL","1959","NULL","12","NULL","20","NULL","New Zealand"
241040,"Whakaari/White Island",14475,"Confirmed Eruption","NULL","2","NULL","NULL",1955,"NULL","1","NULL","16","15","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14460,"Confirmed Eruption","NULL","2","NULL","NULL",1826,"NULL","12","NULL","1","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",22121,"Confirmed Eruption","1978/90 Crater Complex","1","NULL","NULL",2016,"NULL","4","NULL","27","NULL","Observations: Reported","NULL","2016","NULL","4","NULL","27","NULL","New Zealand"
241040,"Whakaari/White Island",14491,"Confirmed Eruption","Wade Crater","1","NULL","NULL",1995,"NULL","6","?","28","NULL","Observations: Reported","NULL","1995","NULL","6","?","29","NULL","New Zealand"
241040,"Whakaari/White Island",14466,"Confirmed Eruption","NULL","2","NULL","NULL",1886,"NULL","9","NULL","16","NULL","Observations: Reported","NULL","1886","NULL","12","?","0","NULL","New Zealand"
241040,"Whakaari/White Island",14489,"Confirmed Eruption","North margin of 1978 crater complex","2","NULL","NULL",1983,"NULL","12","NULL","26","5","Observations: Reported","NULL","1984","NULL","2","NULL","12","5","New Zealand"
241040,"Whakaari/White Island",14468,"Confirmed Eruption","NULL","2","NULL","NULL",1909,"NULL","5","NULL","13","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14464,"Confirmed Eruption","West end of crater","2","NULL","NULL",1885,"NULL","10","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14494,"Confirmed Eruption","MH vent","3","?","NULL",2000,"NULL","3","NULL","7","NULL","Observations: Reported","NULL","2000","NULL","9","NULL","5","4","New Zealand"
241040,"Whakaari/White Island",14492,"Confirmed Eruption","NULL","1","NULL","NULL",1998,"NULL","3","NULL","28","NULL","Observations: Reported","NULL","1998","NULL","3","NULL","29","NULL","New Zealand"
241040,"Whakaari/White Island",14493,"Confirmed Eruption","NW corner of 1978/90 crater complex","2","NULL","NULL",1998,"NULL","8","NULL","22","NULL","Observations: Reported","NULL","1999","NULL","8","NULL","16","15","New Zealand"
241040,"Whakaari/White Island",14481,"Confirmed Eruption","Rudolf vent (back wall of 1933 crater)","3","NULL","NULL",1968,"NULL","1","NULL","27","NULL","Observations: Reported","NULL","1969","NULL","2","NULL","16","15","New Zealand"
241040,"Whakaari/White Island",14486,"Confirmed Eruption","SE of Donald Mound,","2","NULL","NULL",1974,"NULL","9","NULL","8","10","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",22651,"Confirmed Eruption","NULL","NULL","NULL","NULL",2026,"NULL","3","NULL","10","NULL","Observations: Reported","NULL","2026","NULL","3","NULL","24","NULL","New Zealand"
241040,"Whakaari/White Island",14480,"Confirmed Eruption","Gilliver Crater","3","NULL","NULL",1966,"NULL","11","NULL","13","NULL","Observations: Reported","NULL","1967","NULL","3","NULL","16","15","New Zealand"
241040,"Whakaari/White Island",14482,"Confirmed Eruption","Rudolf vent","2","NULL","NULL",1969,"NULL","8","NULL","16","15","Observations: Reported","NULL","1969","NULL","9","NULL","16","15","New Zealand"
241040,"Whakaari/White Island",20839,"Confirmed Eruption","1978/90 Crater Complex","2","NULL","NULL",2012,"NULL","8","NULL","7","NULL","Observations: Reported","NULL","2013","NULL","10","NULL","11","NULL","New Zealand"
241040,"Whakaari/White Island",22147,"Confirmed Eruption","2012 lava dome","1","NULL","NULL",2016,"NULL","9","NULL","13","NULL","Observations: Reported","NULL","2016","NULL","9","NULL","14","NULL","New Zealand"
241040,"Whakaari/White Island",14471,"Confirmed Eruption","North end of crater (Schuberts Fairy?)","2","NULL","NULL",1924,"NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",22338,"Confirmed Eruption","1978/90 Crater Complex","2","NULL","NULL",2019,"NULL","12","NULL","9","NULL","Observations: Reported","NULL","2019","NULL","12","NULL","9","NULL","New Zealand"
241040,"Whakaari/White Island",14473,"Confirmed Eruption","Between Big Donald and Lot's Wife","1","NULL","NULL",1928,"NULL","9","NULL","1","NULL","Observations: Reported","NULL","1928","NULL","9","NULL","3","1","New Zealand"
241040,"Whakaari/White Island",14477,"Confirmed Eruption","Noisy Nellie and 1933 craters","1","NULL","NULL",1958,"NULL","12","NULL","16","15","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14474,"Confirmed Eruption","NULL","2","NULL","NULL",1930,"NULL","3","NULL","16","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",22573,"Confirmed Eruption","NULL","1","NULL","NULL",2024,"NULL","5","NULL","24","NULL","Observations: Reported","NULL","2025","NULL","5","NULL","13","NULL","New Zealand"
