"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description"
1984,10,16,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",3,"S",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1985,5,10,NA,NA,"Semeru","Java","Indonesia",-8.108,112.922,3657,"Stratovolcano","true",3,"A",70,2,NA,NA,NA,NA,NA,NA,NA,NA,70,2,NA,NA,NA,NA,NA,NA,NA,NA
1985,11,13,NA,NA,"Ruiz, Nevado del","Colombia","Colombia",4.892,-75.324,5279,"Stratovolcano","true",3,"M",23080,4,NA,NA,10000,4,NA,NA,NA,NA,23080,4,NA,NA,10000,4,NA,NA,NA,NA
1985,12,19,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",1,"S",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1986,7,24,NA,NA,"Stromboli","Italy","Italy",38.789,15.213,924,"Stratovolcano","true",2,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1986,8,21,5808,NA,"Oku Volcanic Field","Africa-W","Cameroon",6.25,10.5,3011,"Maar","true",3,"G",1700,4,NA,NA,300,3,NA,NA,NA,NA,1700,4,NA,NA,300,3,NA,NA,NA,NA
1986,11,15,NA,NA,"Izu-Oshima","Izu Is-Japan","Japan",34.724,139.394,746,"Stratovolcano","true",3,"I",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1986,12,31,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",2,"M",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1987,1,25,NA,NA,"Pacaya","Guatemala","Guatemala",14.382,-90.601,2569,"Complex volcano","true",3,"",NA,NA,NA,NA,15,1,NA,1,63,2,NA,NA,NA,NA,15,1,NA,1,63,2
1987,4,17,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",2,"T",2,1,NA,NA,7,1,NA,NA,NA,NA,2,1,NA,NA,7,1,NA,NA,NA,NA
1987,12,1,NA,5150,"Sirung","Lesser Sunda Is","Indonesia",-8.497,124.131,1347,"Complex volcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,3,NA,NA,NA,3,5,3,237,3
