"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description"
-4360,NA,NA,NA,NA,"Macauley","Kermadec Is","New Zealand",-30.21,-178.475,238,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4350,NA,NA,NA,NA,"Kikai","Ryukyu Is","Japan",30.793,130.305,704,"Caldera","true",7,"P",NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,3,NA,3
-4050,NA,NA,NA,NA,"Masaya","Nicaragua","Nicaragua",11.984,-86.169,594,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4000,NA,NA,NA,NA,"Witori","New Britain-SW Pac","Papua New Guinea",-5.575,150.516,724,"Caldera","true",6,"T",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
-3580,NA,NA,NA,NA,"Taal","Luzon-Philippines","Philippines",14.011,120.998,311,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3550,NA,NA,NA,NA,"Pinatubo","Luzon-Philippines","Philippines",15.13,120.35,1486,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2420,NA,NA,NA,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",5,"P,T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2040,NA,NA,NA,NA,"Long Island","New Guinea-NE of","Papua New Guinea",-5.358,147.12,1280,"Complex volcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1900,NA,NA,NA,NA,"Black Peak","Alaska Peninsula","United States",56.552,-158.785,1032,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1890,NA,NA,NA,NA,"Hudson, Cerro","Chile-S","Chile",-45.9,-72.97,1905,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1860,NA,NA,NA,NA,"St. Helens","US-Washington","United States",46.2,-122.18,2549,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1750,NA,NA,NA,NA,"Veniaminof","Alaska Peninsula","United States",56.17,-159.38,2507,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1645,NA,NA,NA,NA,"Aniakchak","Alaska Peninsula","United States",56.88,-158.17,1341,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1610,NA,NA,3,5877,"Santorini","Greece","Greece",36.404,25.396,367,"Shield volcano","true",7,"W",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA
-1550,NA,NA,NA,NA,"Redoubt","Alaska-SW","United States",60.485,-152.742,3108,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1460,NA,NA,NA,NA,"Taupo","New Zealand","New Zealand",-38.781,175.893,760,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1370,NA,NA,NA,NA,"Witori","New Britain-SW Pac","Papua New Guinea",-5.575,150.516,724,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1050,NA,NA,NA,NA,"Pinatubo","Luzon-Philippines","Philippines",15.13,120.35,1486,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1010,NA,NA,NA,NA,"Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","true",5,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-455,NA,NA,NA,NA,"Cotopaxi","Ecuador","Ecuador",-0.677,-78.436,5911,"Stratovolcano","true",4,"M",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-250,NA,NA,NA,NA,"Raoul Island","Kermadec Is","New Zealand",-29.27,-177.92,516,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-197,NA,NA,3473,7795,"Santorini","Greece","Greece",36.404,25.396,367,"Shield volcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-141,NA,NA,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",NA,"",40,1,NA,NA,NA,NA,NA,NA,NA,NA,40,1,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,NA,"Okmok","Aleutian Is","United States",53.43,-168.13,1073,"Shield volcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,NA,"Apoyeque","Nicaragua","Nicaragua",12.242,-86.342,518,"Pyroclastic shield","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,21,NA,"Santorini","Greece","Greece",36.404,25.396,367,"Shield volcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,"Ambrym","Vanuatu-SW Pacific","Vanuatu",-16.25,168.12,1334,"Pyroclastic shield","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,"Churchill","Alaska-E","United States",61.38,-141.75,5005,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,8,25,3093,58,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",5,"P,T",2100,4,NA,NA,NA,NA,NA,NA,NA,NA,2100,4,NA,NA,NA,NA,NA,NA,NA,NA
200,NA,NA,NA,NA,"Arhab, Harra of","Arabia-S","Yemen",15.603,44.098,3100,"Volcanic field","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
233,NA,NA,NA,NA,"Taupo","New Zealand","New Zealand",-38.781,175.893,760,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,NA,NA,"Ksudach","Kamchatka","Russia",51.844,157.572,1079,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,NA,NA,NA,NA,"St. Andrew Strait","Admiralty Is-SW Paci","Papua New Guinea",-2.38,147.35,270,"Complex volcano","true",NA,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
350,NA,NA,NA,NA,"Augustine","Alaska-SW","United States",59.363,-153.435,1218,"Lava dome","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,NA,NA,39,NA,"Krakatau","Indonesia","Indonesia",-6.101,105.423,285,"Caldera","true",NA,"W",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA
450,NA,NA,NA,NA,"Ilopango","El Salvador","El Salvador",13.672,-89.053,450,"Caldera","true",6,"",30000,4,NA,NA,NA,NA,NA,NA,NA,NA,30000,4,NA,NA,NA,NA,NA,NA,NA,NA
500,NA,NA,NA,NA,"Arhab, Harra of","Arabia-S","Yemen",15.603,44.098,3100,"Volcanic field","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
590,NA,NA,NA,NA,"San Salvador","El Salvador","El Salvador",13.734,-89.294,1893,"Stratovolcano","true",NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
640,NA,NA,NA,NA,"Uwayrid, Harrat","Arabia-W","Saudi Arabia",27.08,37.25,1920,"Volcanic field","true",2,"T",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
653,NA,NA,NA,NA,"Dakataua","New Britain-SW Pac","Papua New Guinea",-5.046,150.1,408,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683,NA,NA,NA,NA,"Rabaul","New Britain-SW Pac","Papua New Guinea",-4.246,152.194,688,"Pyroclastic shield","true",6,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,NA,NA,NA,NA,"Witori","New Britain-SW Pac","Papua New Guinea",-5.575,150.516,724,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
764,NA,NA,NA,NA,"Aira","Kyushu-Japan","Japan",31.577,130.659,1117,"Stratovolcano","true",4,"T,L",80,2,NA,NA,NA,NA,NA,NA,NA,NA,80,2,NA,NA,NA,NA,NA,NA,NA,NA
766,7,20,61,7341,"Aira","Kyushu-Japan","Japan",31.577,130.659,1117,"Stratovolcano","true",3,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
787,NA,NA,NA,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",3,"",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
847,NA,NA,NA,NA,"Churchill","Alaska-E","United States",61.38,-141.75,5005,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920,NA,NA,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
930,NA,NA,NA,NA,"Ceboruco","Mexico","Mexico",21.125,-104.508,2280,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
934,NA,NA,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
946,NA,NA,NA,NA,"Changbaishan","China-E","North Korea",41.98,128.08,2744,"Stratovolcano","true",7,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
950,NA,NA,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,NA,NA,3102,NA,"Santorini","Greece","Greece",36.404,25.396,367,"Shield volcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,10,15,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",5,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1151,NA,NA,NA,NA,"Krysuvik-Trolladyngja","Iceland-SW","Iceland",63.917,-22.067,360,"Crater rows","true",1,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1158,1,19,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1169,2,4,2852,421,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",NA,"S,W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000,4,NA,NA,NA,NA,NA,4,NA,NA
1169,2,11,3107,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177,NA,NA,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1206,12,4,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1250,NA,NA,NA,NA,"Fentale","Africa-NE","Ethiopia",8.985,39.906,2007,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262,NA,NA,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",3,"F",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1280,NA,NA,NA,NA,"Quilotoa","Ecuador","Ecuador",-0.859,-78.904,3914,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300,7,11,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,3,NA,NA,NA,NA,NA,NA,NA,NA
1302,NA,NA,NA,NA,"Ischia","Italy","Italy",40.73,13.897,789,"Complex volcano","true",NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1311,1,18,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",4,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1311,NA,NA,NA,NA,"Kelud","Java","Indonesia",-7.935,112.314,1730,"Stratovolcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1329,6,28,3112,9973,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
1329,7,15,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",3,"I",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1331,12,NA,NA,NA,"Asosan","Kyushu-Japan","Japan",32.885,131.085,1592,"Caldera","true",2,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1334,NA,NA,NA,NA,"Kelud","Java","Indonesia",-7.935,112.314,1730,"Stratovolcano","true",3,"M",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1341,5,19,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1357,NA,NA,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1362,6,5,NA,NA,"Oraefajokull","Iceland-SE","Iceland",64,-16.65,2010,"Stratovolcano","true",5,"T,F",220,3,NA,NA,NA,NA,NA,NA,NA,NA,220,3,NA,NA,NA,NA,NA,NA,NA,NA
1375,NA,NA,NA,NA,"Chichon, El","Mexico","Mexico",17.36,-93.23,1150,"Tuff cone","true",5,"M",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1376,NA,NA,NA,NA,"Kelud","Java","Indonesia",-7.935,112.314,1730,"Stratovolcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1385,NA,NA,NA,NA,"Kelud","Java","Indonesia",-7.935,112.314,1730,"Stratovolcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1389,12,1,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1410,3,5,NA,NA,"Nasudake","Honshu-Japan","Japan",37.125,139.963,1915,"Stratovolcano","true",3,"",180,3,NA,NA,NA,NA,NA,NA,NA,NA,180,3,NA,NA,NA,NA,NA,NA,NA,NA
1430,NA,NA,NA,NA,"Kuwae","Vanuatu-SW Pacific","Vanuatu",-16.83,168.523,-2,"Caldera","true",NA,"P",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1471,11,3,NA,NA,"Aira","Kyushu-Japan","Japan",31.577,130.659,1117,"Stratovolcano","true",5,"P",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1477,2,NA,NA,NA,"Bardarbunga","Iceland-NE","Iceland",64.633,-17.516,2000,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1485,1,NA,NA,NA,"Asosan","Kyushu-Japan","Japan",32.885,131.085,1592,"Caldera","true",2,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1500,NA,NA,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1510,7,25,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",4,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1510,10,15,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",4,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1536,3,26,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",3,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1538,9,29,NA,NA,"Campi Flegrei","Italy","Italy",40.827,14.139,458,"Caldera","true",3,"T",24,1,NA,NA,NA,NA,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA,NA
1540,NA,NA,2874,NA,"Augustine","Alaska-SW","United States",59.363,-153.435,1218,"Lava dome","true",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1550,11,NA,NA,NA,"Dukono","Halmahera-Indonesia","Indonesia",1.699,127.878,1273,"Complex volcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1550,NA,NA,5863,NA,"Kie Besi","Halmahera-Indonesia","Indonesia",0.32,127.4,1357,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1564,12,31,NA,NA,"Gamkonora","Halmahera-Indonesia","Indonesia",1.38,127.53,1635,"Stratovolcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1565,8,NA,NA,9788,"Pacaya","Guatemala","Guatemala",14.382,-90.601,2569,"Complex volcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1566,10,31,NA,NA,"Kirishimayama","Kyushu-Japan","Japan",31.934,130.862,1700,"Shield volcano","true",3,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1568,NA,NA,NA,NA,"Savo","Solomon Is-SW Pacifi","Solomon Is.",-9.13,159.82,485,"Stratovolcano","true",3,"P,T,M",1001,4,NA,NA,NA,NA,NA,NA,NA,NA,1001,4,NA,NA,NA,NA,NA,NA,NA,NA
1570,NA,NA,NA,NA,"Mombacho","Nicaragua","Nicaragua",11.826,-85.968,1344,"Stratovolcano","true",NA,"A",400,3,NA,NA,NA,NA,NA,NA,NA,NA,400,3,NA,NA,NA,NA,NA,NA,NA,NA
1572,NA,NA,NA,NA,"Taal","Luzon-Philippines","Philippines",14.011,120.998,311,"Stratovolcano","true",3,"L",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
1576,NA,NA,NA,NA,"Colima","Mexico","Mexico",19.514,-103.62,3850,"Stratovolcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1580,5,1,NA,NA,"Sao Jorge","Azores","Portugal",38.65,-28.08,1053,"Fissure vent","true",3,"P",10,1,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA
1580,8,11,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1580,NA,NA,NA,NA,"Billy Mitchell","Bougainville-SW Paci","Papua New Guinea",-6.09,155.225,1544,"Pyroclastic shield","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,12,26,NA,NA,"Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1586,NA,NA,NA,NA,"Kelud","Java","Indonesia",-7.935,112.314,1730,"Stratovolcano","true",5,"",10000,4,NA,NA,NA,NA,NA,NA,NA,NA,10000,4,NA,NA,NA,NA,NA,NA,NA,NA
1587,NA,NA,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",4,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1590,1,15,NA,NA,"Colima","Mexico","Mexico",19.514,-103.62,3850,"Stratovolcano","true",3,"I",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1593,NA,NA,NA,NA,"Raung","Java","Indonesia",-8.119,114.056,3260,"Stratovolcano","true",5,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1595,3,12,NA,NA,"Ruiz, Nevado del","Colombia","Colombia",4.892,-75.324,5279,"Stratovolcano","true",4,"M",636,3,NA,NA,NA,NA,NA,NA,NA,NA,636,3,NA,NA,NA,NA,NA,NA,NA,NA
1596,5,1,NA,NA,"Asamayama","Honshu-Japan","Japan",36.406,138.523,2568,"Complex volcano","true",2,"T",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1597,1,3,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1597,NA,NA,NA,NA,"Raung","Java","Indonesia",-8.119,114.056,3260,"Stratovolcano","true",3,"T",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1598,5,13,NA,NA,"Asamayama","Honshu-Japan","Japan",36.406,138.523,2568,"Complex volcano","true",2,"T",800,3,NA,NA,NA,NA,NA,NA,NA,NA,800,3,NA,NA,NA,NA,NA,NA,NA,NA
1598,NA,NA,NA,NA,"Banda Api","Banda Sea","Pacific Ocean",-4.523,129.881,596,"Caldera","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1600,2,19,NA,814,"Huaynaputina","Peru","Peru",-16.614,-70.854,4679,"Stratovolcano","true",6,"",1500,4,NA,NA,NA,NA,NA,NA,NA,NA,1500,4,NA,NA,NA,NA,NA,NA,NA,NA
1606,1,23,219,NA,"Hachijojima","Izu Is-Japan","Japan",33.137,139.766,854,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,7,18,222,NA,"Gamalama","Halmahera-Indonesia","Indonesia",0.81,127.332,1714,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
1609,NA,NA,NA,NA,"Tengchong","China-S","China",25.23,98.5,2865,"Pyroclastic cone","true",NA,"E",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1615,3,NA,NA,NA,"Banda Api","Banda Sea","Pacific Ocean",-4.523,129.881,596,"Caldera","true",3,"",NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2
