"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description","Cumulative_Eruptions"
2017,4,13,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",2,"P",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,2,690
2017,6,6,NA,NA,"Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","true",2,"P",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,691
2017,7,1,NA,NA,"Dieng Volcanic Complex","Java","Indonesia",-7.2,109.879,2565,"Complex volcano","true",NA,"",8,1,NA,NA,11,1,NA,NA,NA,NA,8,1,NA,NA,11,1,NA,NA,NA,NA,692
2017,9,12,NA,NA,"Campi Flegrei","Italy","Italy",40.827,14.139,458,"Caldera","true",NA,"",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,693
2017,9,23,NA,NA,"Ambae","Vanuatu-SW Pacific","Vanuatu",-15.389,167.835,1496,"Shield volcano","true",NA,"T",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,694
2017,12,27,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"T",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,695
2018,1,5,NA,NA,"Kadovar","New Guinea-NE of","Papua New Guinea",-3.608,144.588,365,"Stratovolcano","true",2,"T",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,696
2018,1,13,NA,NA,"Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","true",2,"T,P",NA,NA,NA,NA,1972,4,3.564,2,NA,NA,NA,NA,NA,NA,1972,4,3.564,2,NA,NA,697
2018,1,23,NA,NA,"Kusatsu-Shiranesan","Honshu-Japan","Japan",36.618,138.528,2165,"Stratovolcano","true",1,"T",1,1,NA,NA,11,1,NA,1,NA,NA,1,1,NA,NA,11,1,NA,1,NA,NA,698
2018,2,1,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",1,"G",1,1,NA,NA,3,1,NA,NA,NA,NA,1,1,NA,NA,3,1,NA,NA,NA,NA,699
2018,2,9,5676,NA,"Kadovar","New Guinea-NE of","Papua New Guinea",-3.608,144.588,365,"Stratovolcano","true",2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700
2018,3,30,NA,NA,"Ambae","Vanuatu-SW Pacific","Vanuatu",-15.389,167.835,1496,"Shield volcano","true",3,"T,G,M",4,1,NA,NA,NA,NA,NA,2,NA,1,4,1,NA,NA,NA,NA,NA,2,NA,1,701
2018,4,28,5678,10332,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",1,"L",NA,NA,NA,NA,1,1,370,4,716,3,NA,NA,NA,NA,1,1,370,4,716,3,702
2018,6,3,NA,NA,"Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","true",2,"P",201,3,229,3,27,1,120,4,186,3,201,3,229,3,27,1,120,4,186,3,703
2018,7,16,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",NA,"T",NA,NA,NA,NA,23,1,1,1,NA,NA,NA,NA,NA,NA,23,1,1,1,NA,NA,704
2018,8,25,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",4,"L,T",NA,NA,NA,NA,NA,NA,NA,3,164,3,NA,NA,NA,NA,NA,NA,NA,3,164,3,705
2018,12,15,NA,10382,"Ambrym","Vanuatu-SW Pacific","Vanuatu",-16.25,168.12,1334,"Pyroclastic shield","true",2,"S,T,G",NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,706
2018,12,22,5699,NA,"Krakatau","Indonesia","Indonesia",-6.101,105.423,285,"Caldera","true",3,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,3,10,1,31943,4,250,4,2844,4,707
2018,12,26,NA,10383,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",2,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,115,4,15,1,708
2019,1,7,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",4,"T",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,709
2019,5,7,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",4,"T",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,710
