"Volcano Number","Volcano Name","Country","Volcanic Region Group","Volcanic Region","Volcano Landform","Primary Volcano Type","Activity Evidence","Last Known Eruption","Latitude","Longitude","Elevation (m)","Dominant Rock Type","Tectonic Setting"
"352818","Sagoatoa","Ecuador","South America Volcanic Regions","Northern Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-1.151","-78.665999999999997","4153",NA,"Subduction zone / Continental crust (>25 km)"
"352819","Llimpi","Ecuador","South America Volcanic Regions","Northern Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-1.381","-78.572000000000003","3732",NA,"Subduction zone / Continental crust (>25 km)"
"352820","Puyo","Ecuador","South America Volcanic Regions","Northern Andean Volcanic Arc","Minor","Pyroclastic cone(s)",NA,NA,"-1.4590000000000001","-77.917000000000002","1072",NA,"Subduction zone / Continental crust (>25 km)"
"352821","Carihuairazo","Ecuador","South America Volcanic Regions","Northern Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-1.4039999999999999","-78.75","5102",NA,"Subduction zone / Continental crust (>25 km)"
"352822","Igualata","Ecuador","South America Volcanic Regions","Northern Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-1.49","-78.638999999999996","4430",NA,"Subduction zone / Continental crust (>25 km)"
"352823","Calpi","Ecuador","South America Volcanic Regions","Northern Andean Volcanic Arc","Minor","Tuff cone(s)",NA,NA,"-1.6339999999999999","-78.727999999999994","3215",NA,"Subduction zone / Continental crust (>25 km)"
"352824","Altar","Ecuador","South America Volcanic Regions","Northern Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-1.67","-78.42","5321",NA,"Unknown"
"352826","Chalupas","Ecuador","South America Volcanic Regions","Northern Andean Volcanic Arc","Caldera","Caldera",NA,NA,"-0.80400000000000005","-78.3","4812",NA,"Subduction zone / Continental crust (>25 km)"
"353800","Isla Darwin","Ecuador","Eastern Pacific Volcanic Regions","Northern Galapagos Volcanic Province","Shield","Shield",NA,NA,"1.62","-92","168",NA,"Rift zone / Oceanic crust (< 15 km)"
"353801","Isla Wolf","Ecuador","Eastern Pacific Volcanic Regions","Northern Galapagos Volcanic Province","Shield","Shield",NA,NA,"1.37","-91.8","253",NA,"Rift zone / Oceanic crust (< 15 km)"
