"Volcano Number","Volcano Name","Eruption Number","Eruption Category","Area of Activity","VEI","VEI Modifier","Start Year Modifier","Start Year","Start Year Uncertainty","Start Month","Start Day Modifier","Start Day","Start Day Uncertainty","Evidence Method (dating)","End Year Modifier","End Year","End Year Uncertainty","End Month","End Day Modifier","End Day","End Day Uncertainty"
"241070","Taupo","14542","Confirmed Eruption","5 km NW of Te Kohaiakahu Point","4","NULL","?","-2900","NULL","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"341060","Michoacan-Guanajuato","10481","Confirmed Eruption","Cerro el Metate","3","NULL","NULL","-2750","200","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"345033","Arenal","11115","Confirmed Eruption","NULL","4","NULL","?","-1650","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"345033","Arenal","11124","Confirmed Eruption","NULL","4","NULL","NULL","650","100","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"351090","Azufral","11383","Confirmed Eruption","NULL","NULL","NULL","?","-1850","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"352080","Tungurahua","11617","Confirmed Eruption","NULL","3","?","?","350","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"352080","Tungurahua","11626","Confirmed Eruption","NULL","3","?","NULL","1640","NULL","0","NULL","0","NULL","Observations: Reported","NULL","1641","NULL","0","NULL","0","NULL"
"352080","Tungurahua","22215","Confirmed Eruption","Summit crater","3","NULL","NULL","2012","NULL","12","NULL","14","NULL","Observations: Reported","NULL","2016","NULL","3","NULL","16","NULL"
"353020","Wolf","11685","Confirmed Eruption","NULL","NULL","NULL","NULL","1935","NULL","2","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"353020","Wolf","21075","Confirmed Eruption","a fissure on the SE edge of the caldera, on the NE, E, and SE flanks, and within the summit caldera","4","NULL","NULL","2015","NULL","5","NULL","25","NULL","Observations: Reported","NULL","2015","NULL","7","NULL","16","NULL"
"355020","Guallatiri","11817","Confirmed Eruption","NULL","2","?","NULL","1825","25","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357111","Sollipulli","12017","Confirmed Eruption","SW caldera rim (Alpehué crater)","5","+","NULL","-920","75","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357110","Llaima","12026","Confirmed Eruption","NULL","2","NULL","NULL","1822","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357110","Llaima","12051","Confirmed Eruption","NULL","2","?","NULL","1932","NULL","3","NULL","2","NULL","Observations: Reported","NULL","1932","NULL","3","NULL","2","NULL"
"357110","Llaima","12060","Confirmed Eruption","NULL","2","NULL","NULL","1949","NULL","9","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"222120","Lengai, Ol Doinyo","14000","Confirmed Eruption","NULL","NULL","NULL","?","700","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"241070","Taupo","14532","Confirmed Eruption","Acacia Bay lava dome","4","NULL","?","-9210","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"243110","Niuafo'ou","14791","Confirmed Eruption","West side, near Alele 'Uta village","2","NULL","NULL","1912","NULL","10","NULL","15","5","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"257040","Ambrym","15268","Confirmed Eruption","Benbow and Marum","2","?","NULL","1958","NULL","11","NULL","18","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
