"Elevation","Rock Type"
1631,"Andesite / Basaltic Andesite"
3657,"Andesite / Basaltic Andesite"
2329,"Trachyandesite / Basaltic Trachyandesite"
1641,"Basalt / Picro-Basalt"
3088,"Andesite / Basaltic Andesite"
3260,"Andesite / Basaltic Andesite"
2769,"Andesite / Basaltic Andesite"
1247,"Andesite / Basaltic Andesite"
2244,"Andesite / Basaltic Andesite"
1711,"Andesite / Basaltic Andesite"
2997,"Andesite / Basaltic Andesite"
3726,"Andesite / Basaltic Andesite"
2850,"Trachybasalt / Tephrite Basanite"
1912,"Trachybasalt / Tephrite Basanite"
1319,"Dacite"
2288,"Andesite / Basaltic Andesite"
2245,"Andesite / Basaltic Andesite"
1559,"Andesite / Basaltic Andesite"
2096,"Andesite / Basaltic Andesite"
618,"Basalt / Picro-Basalt"
1639,"Andesite / Basaltic Andesite"
875,"Andesite / Basaltic Andesite"
1661,"Andesite / Basaltic Andesite"
1703,"Andesite / Basaltic Andesite"
1659,"Basalt / Picro-Basalt"
1431,"Andesite / Basaltic Andesite"
1018,"Basalt / Picro-Basalt"
583,"Basalt / Picro-Basalt"
633,"Trachybasalt / Tephrite Basanite"
1347,"Andesite / Basaltic Andesite"
868,"Andesite / Basaltic Andesite"
728,"Andesite / Basaltic Andesite"
781,"Andesite / Basaltic Andesite"
608,"Andesite / Basaltic Andesite"
257,"Andesite / Basaltic Andesite"
596,"Dacite"
404,"Trachyandesite / Basaltic Trachyandesite"
1795,"Andesite / Basaltic Andesite"
1785,"Andesite / Basaltic Andesite"
1580,"Basalt / Picro-Basalt"
1299,"Andesite / Basaltic Andesite"
1968,"Andesite / Basaltic Andesite"
1334,"Andesite / Basaltic Andesite"
703,"Andesite / Basaltic Andesite"
1797,"Andesite / Basaltic Andesite"
-5,"Andesite / Basaltic Andesite"
1318,"Andesite / Basaltic Andesite"
317,"Basalt / Picro-Basalt"
1273,"Andesite / Basaltic Andesite"
1035,"Andesite / Basaltic Andesite"
1357,"Andesite / Basaltic Andesite"
1635,"Andesite / Basaltic Andesite"
979,"Andesite / Basaltic Andesite"
993,"Andesite / Basaltic Andesite"
687,"Basalt / Picro-Basalt"
1714,"Andesite / Basaltic Andesite"
1713,"Andesite / Basaltic Andesite"
308,"Andesite / Basaltic Andesite"
927,"Andesite / Basaltic Andesite"
1357,"Andesite / Basaltic Andesite"
1824,"Andesite / Basaltic Andesite"
2262,"Andesite / Basaltic Andesite"
1080,"Andesite / Basaltic Andesite"
1818,"Basalt / Picro-Basalt"
2790,"Basalt / Picro-Basalt"
610,"Andesite / Basaltic Andesite"
1552,"Andesite / Basaltic Andesite"
2422,"Andesite / Basaltic Andesite"
912,"Andesite / Basaltic Andesite"
1301,"Andesite / Basaltic Andesite"
1535,"Andesite / Basaltic Andesite"
2462,"Andesite / Basaltic Andesite"
1138,"Andesite / Basaltic Andesite"
1966,"Andesite / Basaltic Andesite"
2158,"Andesite / Basaltic Andesite"
1090,"Trachyandesite / Basaltic Trachyandesite"
311,"Andesite / Basaltic Andesite"
1486,"Dacite"
1133,"Andesite / Basaltic Andesite"
712,"Andesite / Basaltic Andesite"
228,"Andesite / Basaltic Andesite"
1064,"Andesite / Basaltic Andesite"
1009,"Andesite / Basaltic Andesite"
196,"Basalt / Picro-Basalt"
157,"Basalt / Picro-Basalt"
-20,"Basalt / Picro-Basalt"
1518,"Basalt / Picro-Basalt"
2865,"Basalt / Picro-Basalt"
361,"Andesite / Basaltic Andesite"
1120,"Andesite / Basaltic Andesite"
-200,"Rhyolite"
212,"Andesite / Basaltic Andesite"
495,"Andesite / Basaltic Andesite"
555,"Andesite / Basaltic Andesite"
796,"Andesite / Basaltic Andesite"
979,"Andesite / Basaltic Andesite"
628,"Andesite / Basaltic Andesite"
657,"Andesite / Basaltic Andesite"
704,"Rhyolite"
924,"Andesite / Basaltic Andesite"
1117,"Andesite / Basaltic Andesite"
40,"Basalt / Picro-Basalt"
1700,"Andesite / Basaltic Andesite"
315,"Basalt / Picro-Basalt"
1483,"Andesite / Basaltic Andesite"
1592,"Andesite / Basaltic Andesite"
1791,"Andesite / Basaltic Andesite"
1584,"Andesite / Basaltic Andesite"
641,"Andesite / Basaltic Andesite"
1126,"Dacite"
1406,"Basalt / Picro-Basalt"
1438,"Andesite / Basaltic Andesite"
3776,"Basalt / Picro-Basalt"
2480,"Andesite / Basaltic Andesite"
3067,"Andesite / Basaltic Andesite"
2702,"Andesite / Basaltic Andesite"
3026,"Andesite / Basaltic Andesite"
2455,"Andesite / Basaltic Andesite"
2621,"Andesite / Basaltic Andesite"
2400,"Andesite / Basaltic Andesite"
2454,"Andesite / Basaltic Andesite"
2568,"Andesite / Basaltic Andesite"
2165,"Andesite / Basaltic Andesite"
2041,"Andesite / Basaltic Andesite"
1449,"Andesite / Basaltic Andesite"
1828,"Andesite / Basaltic Andesite"
2356,"Andesite / Basaltic Andesite"
2578,"Andesite / Basaltic Andesite"
2486,"Andesite / Basaltic Andesite"
2341,"Dacite"
1795,"Andesite / Basaltic Andesite"
1915,"Andesite / Basaltic Andesite"
835,"Dacite"
1816,"Andesite / Basaltic Andesite"
1728,"Andesite / Basaltic Andesite"
1949,"Andesite / Basaltic Andesite"
1841,"Andesite / Basaltic Andesite"
552,"Dacite"
470,"Rhyolite"
1627,"Andesite / Basaltic Andesite"
2236,"Andesite / Basaltic Andesite"
1637,"Basalt / Picro-Basalt"
2038,"Basalt / Picro-Basalt"
1613,"Andesite / Basaltic Andesite"
1366,"Andesite / Basaltic Andesite"
160,"Andesite / Basaltic Andesite"
1625,"Andesite / Basaltic Andesite"
1011,"Andesite / Basaltic Andesite"
1585,"Andesite / Basaltic Andesite"
878,"Andesite / Basaltic Andesite"
746,"Basalt / Picro-Basalt"
508,"Basalt / Picro-Basalt"
432,"Rhyolite"
572,"Rhyolite"
775,"Basalt / Picro-Basalt"
851,"Basalt / Picro-Basalt"
-114,"Dacite"
854,"Basalt / Picro-Basalt"
423,"Basalt / Picro-Basalt"
-360,"Rhyolite"
11,"Dacite"
136,"Dacite"
394,"Basalt / Picro-Basalt"
99,"Basalt / Picro-Basalt"
-991,"Andesite / Basaltic Andesite"
-933,"Andesite / Basaltic Andesite"
-590,"Basalt / Picro-Basalt"
100,"Andesite / Basaltic Andesite"
-165,"Andesite / Basaltic Andesite"
-95,"Basalt / Picro-Basalt"
792,"Basalt / Picro-Basalt"
169,"Trachyandesite / Basaltic Trachyandesite"
-73,"No Data (checked)"
-29,"Trachyandesite / Basaltic Trachyandesite"
-107,"Trachyandesite / Basaltic Trachyandesite"
-392,"Basalt / Picro-Basalt"
